Color_exterior,Color_interior,Comfort,Entertainment,Extras,Fuel,Gearbox,Initial_registration,Mileage,Owners,Power,Security,Seller,price
Grau,Schwarz,"2-Zonen-Klimaautomatik,Armlehne,Beheizbares Lenkrad,Berganfahrassistent,Einparkhilfe,Einparkhilfe Kamera,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Einparkhilfe selbstlenkendes System,Elektr. Fensterheber,Elektrische Heckklappe,Elektrische Seitenspiegel,Getönte Scheiben,Klimaanlage,Lederlenkrad,Lichtsensor,Lordosenstütze,Multifunktionslenkrad,Navigationssystem,Regensensor,Sitzheizung,Start/Stop-Automatik,Tempomat,teilb. Rücksitzbank","Android Auto,Apple CarPlay,Bluetooth,Bordcomputer,DAB-Radio,Freisprecheinrichtung,MP3,Musikstreaming integriert,Radio,Volldigitales Kombiinstrument,W-Lan / Wifi Hotspot","Alufelgen (17""),Anhängerkupplung,E10-geeignet,Elektronische Parkbremse,Innenspiegel automatisch abblendend,Partikelfilter,Sportsitze,Sprachsteuerung,Touchscreen",Benzin,Automatik,10/2023,5185,,100 kW (136 PS),"ABS,Abstandswarner,Beifahrerairbag,ESP,Fahrerairbag,Geschwindigkeits-begrenzungsanlage,Isofix,Kopfairbag,LED-Scheinwerfer,LED-Tagfahrlicht,Müdigkeitswarnsystem,Nebelscheinwerfer,Notbremsassistent,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Spurhalteassistent,Tagfahrlicht,Traktionskontrolle,Verkehrszeichenerkennung,Voll-LED Scheinwerfer,Wegfahrsperre,Zentralverriegelung,Zentralverriegelung mit Funkfernbedienung",Händler,31489
Blau,Schwarz,"2-Zonen-Klimaautomatik,Armlehne,Berganfahrassistent,Einparkhilfe,Einparkhilfe Kamera,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Einparkhilfe selbstlenkendes System,Elektr. Fensterheber,Elektrische Seitenspiegel,Head-up display,Klimaanlage,Lederlenkrad,Lichtsensor,Multifunktionslenkrad,Navigationssystem,Regensensor,Sitzheizung,Start/Stop-Automatik,Tempomat","Android Auto,Apple CarPlay,Bluetooth,Bordcomputer,Freisprecheinrichtung,Induktionsladen für Smartphones,Musikstreaming integriert,Radio,USB,Volldigitales Kombiinstrument,W-Lan / Wifi Hotspot","Alufelgen,Innenspiegel automatisch abblendend,Sommerreifen,Sprachsteuerung,Touchscreen",Benzin,Schaltgetriebe,07/2020,44550,1,103 kW (140 PS),"ABS,Abstandswarner,Beifahrerairbag,Fahrerairbag,Fernlichtassistent,Isofix,Kurvenlicht,LED-Scheinwerfer,LED-Tagfahrlicht,Müdigkeitswarnsystem,Nebelscheinwerfer,Notbremsassistent,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Spurhalteassistent,Tagfahrlicht,Traktionskontrolle,Verkehrszeichenerkennung,Wegfahrsperre,Zentralverriegelung",Händler,20490
Grau,Schwarz,"2-Zonen-Klimaautomatik,Armlehne,Berganfahrassistent,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Getönte Scheiben,Klimaanlage,Lederlenkrad,Lichtsensor,Lordosenstütze,Multifunktionslenkrad,Navigationssystem,Regensensor,Sitzheizung,Start/Stop-Automatik,Tempomat","Bluetooth,Bordcomputer,CD,Freisprecheinrichtung,Musikstreaming integriert,Radio,Soundsystem,USB","Alufelgen,Dachreling,Gepäckraumabtrennung,Innenspiegel automatisch abblendend,Pannenkit,Raucherpaket,Scheinwerferreinigung,Skisack,Sommerreifen,Sportfahrwerk,Sportpaket,Sportsitze,Sprachsteuerung,Winterpaket,Winterreifen",Diesel,Automatik,04/2016,104115,2,110 kW (150 PS),"ABS,Beifahrerairbag,ESP,Fahrerairbag,Geschwindigkeits-begrenzungsanlage,Isofix,LED-Scheinwerfer,LED-Tagfahrlicht,Nebelscheinwerfer,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Tagfahrlicht,Traktionskontrolle,Verkehrszeichenerkennung,Wegfahrsperre,Zentralverriegelung",Händler,18750
Schwarz,Sonstige,"Armlehne,Berganfahrassistent,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaautomatik,Lederlenkrad,Lichtsensor,Multifunktionslenkrad,Regensensor,Schlüssellose Zentralverriegelung,Sitzheizung,Start/Stop-Automatik,Tempomat","Bluetooth,Bordcomputer,DAB-Radio,Freisprecheinrichtung,MP3,Radio,USB","Alufelgen,Ambientebeleuchtung,E10-geeignet,Partikelfilter,Sommerreifen,Sportpaket,Sportsitze,Touchscreen",Benzin,Schaltgetriebe,01/2021,22943,,100 kW (136 PS),"ABS,Abstandswarner,Beifahrerairbag,ESP,Fahrerairbag,Geschwindigkeits-begrenzungsanlage,Isofix,Kopfairbag,LED-Scheinwerfer,LED-Tagfahrlicht,Müdigkeitswarnsystem,Nebelscheinwerfer,Notbremsassistent,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Spurhalteassistent,Tagfahrlicht,Traktionskontrolle,Verkehrszeichenerkennung,Wegfahrsperre,Zentralverriegelung",Händler,22890
Grau,Schwarz,"2-Zonen-Klimaautomatik,Armlehne,Berganfahrassistent,Einparkhilfe,Einparkhilfe Kamera,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Einparkhilfe selbstlenkendes System,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaanlage,Lederlenkrad,Lichtsensor,Lordosenstütze,Multifunktionslenkrad,Navigationssystem,Regensensor,Schlüssellose Zentralverriegelung,Sitzheizung,Start/Stop-Automatik,Tempomat","Android Auto,Apple CarPlay,Bluetooth,Bordcomputer,DAB-Radio,Freisprecheinrichtung,Musikstreaming integriert,Radio,Soundsystem,USB,Volldigitales Kombiinstrument,W-Lan / Wifi Hotspot","Alufelgen,Ambientebeleuchtung,E10-geeignet,Gepäckraumabtrennung,Innenspiegel automatisch abblendend,Pannenkit,Sommerreifen,Sportfahrwerk,Sportpaket,Sportsitze,Sprachsteuerung,Touchscreen",Benzin,Automatik,12/2022,37500,1,100 kW (136 PS),"ABS,Abstandswarner,Alarmanlage,Beifahrerairbag,ESP,Fahrerairbag,Fernlichtassistent,Geschwindigkeits-begrenzungsanlage,Isofix,LED-Scheinwerfer,LED-Tagfahrlicht,Müdigkeitswarnsystem,Nebelscheinwerfer,Notbremsassistent,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Spurhalteassistent,Tagfahrlicht,Totwinkel-Assistent,Traktionskontrolle,Verkehrszeichenerkennung,Wegfahrsperre,Zentralverriegelung",Händler,28360
Grau,Schwarz,"Beheizbares Lenkrad,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Einparkhilfe selbstlenkendes System,Elektr. Fensterheber,Elektrische Seitenspiegel,Head-up display,Klimaautomatik,Lederlenkrad,Lichtsensor,Lordosenstütze,Multifunktionslenkrad,Navigationssystem,Regensensor,Schlüssellose Zentralverriegelung,Sitzheizung,Start/Stop-Automatik,Tempomat","Android Auto,Apple CarPlay,Bluetooth,Bordcomputer,DAB-Radio,Freisprecheinrichtung,Induktionsladen für Smartphones,MP3,Musikstreaming integriert,Radio,Soundsystem,USB,Volldigitales Kombiinstrument,W-Lan / Wifi Hotspot","Alufelgen,Innenspiegel automatisch abblendend,Partikelfilter,Sportfahrwerk,Sportpaket,Sportsitze,Sprachsteuerung,Touchscreen",Diesel,Schaltgetriebe,04/2021,56759,1,110 kW (150 PS),"ABS,Abstandswarner,Alarmanlage,Beifahrerairbag,Blendfreies Fernlicht,ESP,Fahrerairbag,Fernlichtassistent,Geschwindigkeits-begrenzungsanlage,Isofix,Kurvenlicht,LED-Scheinwerfer,LED-Tagfahrlicht,Nebelscheinwerfer,Notbremsassistent,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Spurhalteassistent,Traktionskontrolle,Verkehrszeichenerkennung,Wegfahrsperre,Zentralverriegelung",Händler,25990
Grau,Schwarz,"2-Zonen-Klimaautomatik,Armlehne,Beheizbares Lenkrad,Berganfahrassistent,Einparkhilfe,Einparkhilfe Kamera,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Einparkhilfe selbstlenkendes System,Elektr. Fensterheber,Elektrische Heckklappe,Elektrische Seitenspiegel,Getönte Scheiben,Klimaanlage,Lederlenkrad,Lichtsensor,Lordosenstütze,Multifunktionslenkrad,Navigationssystem,Regensensor,Schlüssellose Zentralverriegelung,Sitzheizung,Start/Stop-Automatik,Tempomat","Android Auto,Apple CarPlay,Bluetooth,Bordcomputer,DAB-Radio,Freisprecheinrichtung,Induktionsladen für Smartphones,Musikstreaming integriert,Radio,Soundsystem,USB,Volldigitales Kombiinstrument,W-Lan / Wifi Hotspot","Alufelgen,Ambientebeleuchtung,Innenspiegel automatisch abblendend,Pannenkit,Sommerreifen,Sportfahrwerk,Sportpaket,Sportsitze,Sprachsteuerung,Touchscreen",Benzin,Automatik,07/2023,18900,1,100 kW (136 PS),"ABS,Abstandswarner,Alarmanlage,Beifahrerairbag,Blendfreies Fernlicht,ESP,Fahrerairbag,Fernlichtassistent,Geschwindigkeits-begrenzungsanlage,Isofix,Kurvenlicht,LED-Scheinwerfer,LED-Tagfahrlicht,Müdigkeitswarnsystem,Nebelscheinwerfer,Notbremsassistent,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Spurhalteassistent,Tagfahrlicht,Totwinkel-Assistent,Traktionskontrolle,Verkehrszeichenerkennung,Wegfahrsperre,Zentralverriegelung",Händler,30960
Schwarz,Schwarz,"2-Zonen-Klimaautomatik,Armlehne,Berganfahrassistent,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Getönte Scheiben,Klimaanlage,Lederausstattung,Lederlenkrad,Lichtsensor,Lordosenstütze,Multifunktionslenkrad,Navigationssystem,Regensensor,Sitzheizung,Start/Stop-Automatik,Tempomat","Bluetooth,Bordcomputer,CD,DAB-Radio,Freisprecheinrichtung,Radio,USB","Allwetterreifen,Alufelgen,Gepäckraumabtrennung,Sportfahrwerk,Sportpaket,Sportsitze,Sprachsteuerung,Winterpaket",Benzin,Schaltgetriebe,12/2018,38700,2,100 kW (136 PS),"ABS,Beifahrerairbag,ESP,Fahrerairbag,Fernlichtassistent,Isofix,Kurvenlicht,LED-Scheinwerfer,LED-Tagfahrlicht,Nebelscheinwerfer,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Tagfahrlicht,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung",Händler,21499
Weiß,Stoff,"2-Zonen-Klimaautomatik,Armlehne,Einparkhilfe,Einparkhilfe Sensoren hinten,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaanlage,Lichtsensor,Multifunktionslenkrad,Regensensor,Sitzheizung,Start/Stop-Automatik,Tempomat","Bordcomputer,CD,Radio,USB","Alufelgen,Gepäckraumabtrennung,Sommerreifen",Benzin,Schaltgetriebe,05/2011,225000,,105 kW (143 PS),"ABS,Beifahrerairbag,ESP,Fahrerairbag,Isofix,Nebelscheinwerfer,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Traktionskontrolle,Zentralverriegelung",Händler,5290
Grau,Stoff,"Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaanlage,Klimaautomatik,Lichtsensor,Multifunktionslenkrad,Navigationssystem,Regensensor,Sitzheizung,Start/Stop-Automatik,Tempomat","Bluetooth,Bordcomputer,DAB-Radio,Freisprecheinrichtung,Radio","Alufelgen,Sportfahrwerk,Sportpaket,Sportsitze",Benzin,Schaltgetriebe,04/2021,53466,1,100 kW (136 PS),"ABS,Beifahrerairbag,ESP,Fahrerairbag,Isofix,Kurvenlicht,LED-Scheinwerfer,Nebelscheinwerfer,Seitenairbag,Servolenkung,Tagfahrlicht,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung",Händler,21860
